Frequency(Hz),O/P Maximum(mV),O/P Minimum(mV),O/P Peak to Peak(mV)
50,40,-40,80
100,40,-60,100
150,60,-60,120
200,80,-80,160
250,90,-90,180
300,120,-120,240
310,128,-128,256
320,136,-136,272
330,140,-140,280
350,160,-160,320
400,212,-212,424
450,296,-296,592
500,424,-424,848
525,504,-504,1008
550,568,-568,1136
575,584,-584,1168
580,576,-576,1152
600,544,-544,1088
610,528,-528,1056
650,424,-424,848
700,336,-336,672
900,172,-168,340
1000,140,-140,280
1250,100,-100,200
1500,76,-76,152
1750,64,-64,128
2000,54,-54,108
3000,36,-36,72
5000,24,-24,48
10000,14,-14,28