Frequency(Hz),O/P Maximum(mV),O/P Minimum(mV),O/P Peak to Peak(mV)
50,504,-504,1008
100,520,-520,1040
150,536,-528,1064
200,544,-544,1088
250,552,-544,1096
300,544,-536,1080
310,544,-536,1080
320,536,-528,1064
330,528,-528,1056
335,528,-520,1048
340,528,-520,1048
350,520,-520,1040
360,512,-512,1024
370,512,-504,1016
380,504,-496,1000
390,496,-496,992
400,488,-488,976
500,416,-408,824
600,352,-344,696
700,304,-296,600
900,224,-224,448
1000,200,-200,400
1250,160,-160,320
1500,132,-132,264
1750,112,-112,224
2000,100,-100,200
3000,68,-64,132
5000,44,-40,84
10000,24,-24,48