Frequency(Hz),O/P Maximum(mV),O/P Minimum(mV),O/P Peak to Peak(mV)
50,16,-16,32
100,56,-56,112
150,112,-112,224
200,184,-184,368
250,272,-264,536
300,352,-344,696
310,368,-360,728
320,384,-376,760
330,400,-392,792
335,408,-400,808
340,416,-408,824
350,424,-424,848
360,440,-440,880
370,456,-448,904
380,464,-464,928
390,480,-472,952
400,488,-488,976
500,584,-584,1168
600,640,-640,1280
700,672,-672,1344
900,712,-712,1424
1000,720,-712,1432
1250,736,-728,1464
1500,744,-736,1480
1750,744,-744,1488
2000,752,-744,1496
3000,780,-780,1560
5000,780,-780,1560
10000,780,-780,1560